,0,1,2,3,4,5,6,7
0,1002,Erwartungen an die Höhere Kaderausbildung der Armee und die militärische Führungsausbildung,"Zürich, ETH",Do 10.01.2008 09:00 - 12:30,"2. Symposium ROME, Return on Military Education","Felix Endrich, Informationschef Verteidigung/Armeesprecher, Mail: felix.endrich@vtg.admin.ch","Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1002.html
1,1003,Volksabstimmungen 2008,Medienzentrum Bundeshaus; Konferenzsaal; Centre de presse du Palais fédéral; Salle de conférence Bern,Do 10.01.2008 14:30 Abgesagt,Medienkonferenz,"Roman S. Jäggi, Pressesprecher SVP",SVP,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1003.html
2,1004,Nein zur Anti-Luftwaffen-Initiative,Medienzentrum Bundeshaus; Konferenzsaal; Centre de presse du Palais fédéral; Salle de conférence Bern,Mo 07.01.2008 13:30,Medienkonferenz,"Roman S. Jäggi, Pressesprecher SVP",Komitee für einen sicheren Luftraum,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1004.html
3,1006,Grenzwachtkorps: 1. Diplomfeier Höhere Fachprüfungen 2007,Rathaus Bern,Mi 09.01.2008 14:00,"An die Redaktionen: Der Kommandant des Lehrverbandes freut sich, Sie zur 1. Diplomfeier Höhere Fachprüfungen 2007 im Rathaus in Bern einzuladen. Der Kommandant des Lehrverbandes GWK, Oberstlt Thomas Zehnder, der Chef des Grenzwachtkorps Brigadier Jürg Noth sowie der Oberzolldirektor Herr Rudolf Dietrich werden eine Ansprache halten. Im Anschluss wird der Chef des Grenzwachtkorps, Brigadier Jürg Noth, die Übergabe der Diplome vornehmen. Dieser erstmals durchgeführte Anlass wird von zahlreichen Persönlichkeiten aus Politik, Gesellschaft sowie von verschiedenen Partnerorganisationen aus den Kantonen und dem benachbarten Ausland besucht. Eine An-/Abmeldung ist nicht nötig, um früh- und rechtzeitiges Erscheinen wird gebeten. Das Grenzwachtkorps wird am Freitag, 11. Januar 2008, eine offizielle Medienmitteilung (inkl. Fotos) zur Diplomfeier veröffentlichen. Im Falle von besonderen Wünschen seitens der Medienschaffenden wird um eine rechtzeitige Kontaktaufnahme gebeten. (Anfragen an Hanspeter Müller, Adjutant Chef GWK, Kdo GWK in Bern, Tel: 031 / 322 68 19 oder mail: hans-peter.mueller@ezv.admin.ch)","Hanspeter Müller, Adjutant Chef GWK, Kdo GWK in Bern, Tel: 031 / 322 68 19, E-Mail: hanspeter.mueller@ezv.admin.ch",Eidgenössische Zollverwaltung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1006.html
4,1007,Präsentation der Ergebnisse des Architekturwettbewerbs EUROPAN 9,Medienzentrum Bundeshaus; Kleiner Konferenzraum; Centre de presse du Palais fédéral; Petite salle de conférence Bern,Di 05.02.2008 11:15,Medienkonferenz,"Dr. Peter Gurtner, Direktor Bundesamt für Wohnungswesen, Tel. 032 654 91 81, mailto:peter.gurtner@bwo.admin.ch",EUROPAN / Bundesamt für Wohnungswesen (BWO),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1007.html
5,1008,Jahresmedienkonferenz,Medienzentrum Bundeshaus; Konferenzsaal; Centre de presse du Palais fédéral; Salle de conférence Bern,Di 01.04.2008 10:00 - 11:15,Jahresbericht 2007,Kommunikation/Medien EBK; Tobias Lux; medien@ebk.admin.ch; Tel. 031 322 67 84,Eidgenössische Bankenkommission,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1008.html
6,1009,"Volksinitiative ""Gegen Kampfjetlärm in Tourismusgebieten""",Luftwaffenbasis Payerne; Base aérienne de Payerne Payerne VD,Do 24.01.2008 10:00 - 11:00,"Medienkonferenz mit Bundesrat Samuel Schmid;; (Tansportmöglichkeit für Medienschaffende ab Bundeshaus Ost um 08:30 Uhr, Rückkehr um 12:30 Uhr)","Martin Bühler, Sprecher VBS; 031 324 50 58","Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1009.html
7,1013,"Sans-Papiers, NEE, Asylsuchende, MigrantInnen mit prekärem Aufenthaltsstatus in der Schweiz: Ist für sie eine Heirat und ein Familienleben überhaupt noch möglich?",Medienzentrum Bundeshaus; Konferenzsaal; Centre de presse du Palais fédéral; Salle de conférence Bern,Do 17.01.2008 14:00,Medienkonferenz,"Gabriela Bader; Platform zu den Sans papiers; Plate-forme pour les Sans-papiers; Waisenhausplatz 21; 3011 Bern; 031 312 66 72, mailto:bader@gruene.ch",Plattform zu den Sans papiers,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1013.html
8,1014,Medienapéro,Hotel Kreuz; Zeughausgasse 41 3011 Bern,Fr 18.01.2008 11:30 - 12:15,Stellungnahme zur Anfrage der OIC an das EDA – Anfrage an islamische Staaten bzgl. Religionsfreiheit; Neue Präsidentin AGR; 10 Jahre Sonntag der verfolgten Kirche,"Fritz Herrli; Medienbeauftragter, Schweizerisiche Evangelische Allianz (SEA)",Arbeitsgemeinschaft für Religionsfreiheit (AGR) der Schweizerischen Evangelischen Allianz (SEA),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1014.html
9,1015,Gegen Kampfjetlärm in Friedenszeiten - Die Wahrheit über die Franz-Weber-Initiative,Hotel Kreuz; Zeughausgasse 41 3011 Bern,Fr 18.01.2008 10:00,Medienkonferenz,Judith Weber; (079 679 54 15),HELVETIA NOSTRA,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1015.html
10,1016,Einreichung Ausschaffungsinitiative,Medienzentrum Bundeshaus; Konferenzsaal; Centre de presse du Palais fédéral; Salle de conférence Bern,Fr 15.02.2008 10:45,Medienkonferenz,"Markus Zollinger, Generalsekretariat SVP; 031 300 58 58",SVP,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1016.html
11,1017,Hintergrundgespräch zur Reform der Mehrwertsteuer (MWST),Bundeshaus West; Zimmer 240; Palais fédéral Ouest; Salle 240 Bern,Do 17.01.2008 09:30 - 11:00,"Referenten: Urs Ursprung, Direktor der Eidg. Steuerverwaltung; Claudio Fischer, Projektleiter MWST-Reform; Beat Spicher, stv. Projektleiter MWST-Reform",Dieter Leutwyler; Kommunikation EFD/Communication DFF; 031 322 60 33,Eidgenössisches Finanzdepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1017.html
12,1018,Medienkonferenz zur Reform der Mehrwertsteuer (MWST),Medienzentrum Bundeshaus; Konferenzsaal; Centre de presse du Palais fédéral; Salle de conférence Bern,Do 17.01.2008 11:15,Mit Bundesrat Hans-Rudolf Merz,Dieter Leutwyler; Kommunikation EFD/Communication DFF; 031 322 60 33,Eidgenössisches Finanzdepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1018.html
13,1024,PostReg informiert über ihre Einigung mit der Schweizerischen Post,Medienzentrum Bundeshaus; Konferenzsaal; Centre de presse du Palais fédéral; Salle de conférence Bern,Mo 04.02.2008 14:30,Medienkonferenz,Sibylle Stillhart; Redaktorin; PostReg; Postregulationsbehörde; Monbijoustr. 51A; CH - 3003 Bern; Tel. 0041 31 325 79 80,Eidgenössische Postkommission PostCom,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1024.html
14,1025,"Podiumsdiskussion zum Thema ""Film(aus)bildung - die neue Kinogeneration""",Stadttheater Solothurn; Theatergasse 18 4500 Solothurn,Do 24.01.2008 14:00,"Interessierte Personen sind eingeladen, an der Podiumsdiskussion teilzunehmen. Um eine ungefähre Vorstellung von der Anzahl Teilnehmenden zu erhalten, bitten wir Sie, uns Ihre Anwesenheit per E-Mail zu bestätigen (christian.stroehle@bak.admin.ch).","Bundesamt für Kultur, Kommunication; Office fédéral de la culture, communication; 031 322 92 34",Bundesamt für Kultur,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1025.html
15,1026,Medikamentenmarkt Schweiz 2007,Hotel Bellevue Palace; Kochergasse 3 - 5 3011 Bern,Di 29.01.2008 10:15 - 11:30,Medienkonferenz,Martin Rubeli; vips Vereinigung Pharmafirmen in der Schweiz; Baarerstrasse 2; 6304 Zug; Tel. 041 727 67 80; Fax 041 727 67 90; Mobile 079 330 45 16,"vips Vereinigung Pharmafirmen in der Schweiz, Interpharma, SGCI Chemie Pharma Schweiz",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1026.html
16,1027,Plädoyer für mehr Nachhaltigkeit in der schweizerischen Drogenpolitik,Hotel Kreuz; Zeughausgasse 41 3011 Bern,Fr 18.01.2008 10:30,Medienkonferenz,Frau Geissbühler; Schweiz. Vereinigung Eltern gegen Drogen; 031 302 32 92,Schweizerische Vereinigung Eltern gegen Drogen,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1027.html
17,1028,Von-Wattenwyl-Gespräche,Medienzentrum Bundeshaus; Konferenzsaal; Centre de presse du Palais fédéral; Salle de conférence Bern,Fr 09.05.2008 14:00,Medienkonferenz,"Hansruedi Moser, Leiter Information und Kommunikation BK, Tel. 031 322 37 63",Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1028.html
18,1029,Jahresmedienkonferenz,"Medienzentrum Bundeshaus, Konferenzsaal; Centre de pressse du Palais fédéral, salle de conférence Bern",Do 14.02.2008 10:00 - 12:00,Brigitte Hauser-Süess; Chefin Information und Kommunikation; 031 325 93 50,Staatssekretariat für Migration,"Attachments   Einladung an die Medien (PDF, 22 kB)",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-1029.html
