,0,1,2,3,4,5,6,7
0,157,Test Veranstaltung,Jahnstrasse 7844 Bern,Mi 20.12.2006 10:00 - 13:00,Test Veranstaltung Beschreibung,Kontakt bitte an,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-157.html
1,178,Jugendarbeitnehmerschutz,Hotel Bern 3011 Bern,Do 01.02.2007 09:30 - 10:30,Medienkonferenz,"P. Cavadini, Pressesprecher SGB, Tel. 031 377 01 07",Schweiz. Gewerkschaftsbund SGB,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-178.html
2,188,Globalisierung und die Rolle der öffentlichen Entwicklungszusammenarbeit,Medienzentrum 3003 Bern,Do 29.03.2007 11:00 - 12:00,"Medienkonferenz mit Richard Manning, Direktor OECD/DAC","Suzan Gürler, DEZA, 031 322 31 09",OECD/DEZA/SECO,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-188.html
3,189,Das neue SVP-Kulturpapier,Medienzentrum 3003 Bern,Do 01.02.2007 15:45,Medienkonferenz,"Roman S. Jäggi, Pressesprecher, SVP",SVP/UDC,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-189.html
4,190,Kampagne Fliessgewässer,Hotel Bern 3011 Bern,Mo 05.03.2007 10:15,Medienkonferenz,"Nicole El-Aghar, Pro Natura, 061 317 92 45",Pro Natura,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-190.html
5,193,Ja zur Einheitskrankenkasse,Medienzentrum 3003 Bern,Mo 05.02.2007 10:30,Medienkonferenz,"Jean-Yves Gentil, porte-parole PSS, 031 329 69 86",SPS/PSS,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-193.html
6,195,Präsentation KMU-Handbuch,Bernerhof 3003 Bern,Mo 12.02.2007 10:00,Medienkonferenz mit Bundesrätin Leuthard,"Kommunikation EVD, 031 322 20 07","Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-195.html
7,198,Der Schweizer Zoll im Jahr 2006 - für mehr Sicherheit,Medienzentrum 3003 Bern,Di 13.02.2007 10:00,Jahresmedienkonferenz,"Walter Pavel, Leiter Information Oberzolldirektion, Tel. 031 322 65 13; Michaela Rickenbacher, Kommando GWK, Oberzolldirektion, Tel. 031 325 61 07",Eidgenössische Zollverwaltung,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-198.html
8,205,Stand der Dinge EURO 08,Medienzentrum 3003 Bern,Do 15.02.2007 10:00,Medienkonferenz mit Bundesrat Schmid,"Kommunikation VBS, 031 324 85 12",VBS/BASPO,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-205.html
9,219,Von-Wattenwyl-Gespräche,Medienzentrum 3003 Bern,Fr 16.02.2007 13:30,Medienkonferenz mit CVP-Parteipräsident Christophe Darbellay und Bundesratssprecher Oswald Sigg,"Hansruedi Moser, Infochef BK, 031 322 37 63",Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-219.html
