 0,Title,Address,Date,Description,Contact,Organisator,URL,New_Date,Year,Month,Day
102,WAK-N zu Steuervorlagen,Medienzentrum 3003 Bern,Di 29.08.2006 17:30,Medienkonferenz der WAK-N zu den Steuervorlagen.,Kein Kontakt,WAK N,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-102.html,2006-08-29,2006,8,29
105,Finanzpolitischer Apéro,Bernerhof Bern,Do 14.09.2006 12:15 - 14:00,"Die Eidg. Finanzverwaltung lädt Sie zum ersten „Finanzpolitischen Apéro“ ein. Die Veranstaltung soll den interessierten Medienschaffenden Gelegenheit bieten, sich aus erster Hand und in ungezwungener Atmosphäre über aktuelle Themen der Fi-nanzpolitik zu informieren. Am Anlass werden Peter Siegenthaler, Direktor der Eidg. Finanzverwaltung, und die Vizedirektoren Fritz Zurbrügg, Beat Blaser, und Karl Schwaar je ein Kurzreferat hal-ten. Neben der neu gestalteten und frisch gedruckten Finanzberichterstattung zum Voranschlag 2007 und dem Finanzplan 2008 – 2010 wird ein Ausblick auf die weite-ren Schritte im Neuen Rechnungsmodell des Bundes sowie eine aktuelle finanzpoliti-sche Standortbestimmung Thema sein. Anschliessend bietet sich bei einem; Apéro Gelegenheit für Fragen und Diskussionen.",Kein Kontakt,Eidgenössisches Finanzdepartement,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-105.html,2006-09-14,2006,9,14
106,Sitzung Kommission für soziale Sicherheit und Gesundheit,Bundesrain Bern,Mi 13.09.2006 08:00 - 17:00,Keine Beschreibung,Kein Kontakt,Kommission für soziale Sicherheit und Gesundheit,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-106.html,2006-09-13,2006,9,13
112,Löhne 2007,Hotel Bern Bern,So 10.09.2006 08:00,PK,Kein Kontakt,Gewerkschaftsbund,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-112.html,2006-09-10,2006,9,10
116,Heerestage 2006,Konferenzsaal Bern,Fr 13.10.2006 10:00,Keine Beschreibung,Kein Kontakt,Generalsekretariat VBS,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-116.html,2006-10-13,2006,10,13
131,Bundespräsident Leuenberger nimmt an der Verkehrsministerkonferenz in Verona teil,- Verona,Fr 03.11.2006,Keine Beschreibung,Kein Kontakt,Generalsekretariat UVEK,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-131.html,2006-11-03,2006,11,3
133,Referat von Bundesrat Pascal Couchepin beim ETH-Symposium «Technologieentwicklung und Nachhaltigkeit in der Schweiz»,ETH Zürich,Fr 03.11.2006 09:30,Keine Beschreibung,Kein Kontakt,Eidgenössisches Departement des Innern (EDI),https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-133.html,2006-11-03,2006,11,3
134,Le Conseiller fédéral Couchepin prononce à 14h30 un discours à l'occasion du séminaire de la Commission fédérale pour l'enfance et la jeunesse à Bienne.,Bienne Berne,Fr 03.11.2006 14:30,Keine Beschreibung,Kein Kontakt,Département fédéral de l'intérieur,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-134.html,2006-11-03,2006,11,3
135,"Medienkonferenz KKJPD/VBS, mit Bundesrat Samuel Schmid",Bern Bern,Fr 03.11.2006 13:30,"Bundesrat Schmid nimmt ab 13.30 Uhr an der Medienkonferenz KKJPD/VBS zum ""Bericht über Bearbeitung der Aufträge vom Juni 05"" im Konferenzsaal teil.",Kein Kontakt,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-135.html,2006-11-03,2006,11,3
136,Armeereform,"Bern, Kleiner Konferenzraum Bern",Fr 03.11.2006 13:00,Keine Beschreibung,Kein Kontakt,SiK/CPS-S,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-136.html,2006-11-03,2006,11,3
137,"Iv ""Für tiefere Krankenkassenprämien""/KVG",Kleiner Konferenzraum Bern,Fr 03.11.2006 14:30,Keine Beschreibung,Kein Kontakt,SGK/CSSS-N,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-137.html,2006-11-03,2006,11,3
138,Medienkonferenz,Kleiner Konferenzraum Bern,Fr 03.11.2006 16:30,Keine Beschreibung,Kein Kontakt,RK/CAJ-N,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-138.html,2006-11-03,2006,11,3
140,Kongressvorschau,Hotel Bern Bern,Mo 06.11.2006 10:15,Keine Beschreibung,Kein Kontakt,SGB/USS,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-140.html,2006-11-06,2006,11,6
141,Medienkonferenz,Konferenzsaal Bern,Di 07.11.2006 09:15,Keine Beschreibung,Kein Kontakt,SP-Fraktion,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-141.html,2006-11-07,2006,11,7
150,Bundesratssitzung,Medienzentrum Bundeshaus Bern,Mi 29.11.2006,Medienkonferenz des Bundesrats nach der wöchentlichen Sitzung,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-150.html,2006-11-29,2006,11,29
157,Test Veranstaltung,Jahnstrasse 7844 Bern,Mi 20.12.2006 10:00 - 13:00,Test Veranstaltung Beschreibung,Kontakt bitte an,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-157.html,2006-12-20,2006,12,20
177,Bundesratssitzung,Medienzentrum 3003 Bern,Mi 31.01.2007,Keine Beschreibung,Kein Kontakt,Bundeskanzlei,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-177.html,2007-01-31,2007,1,31
178,Jugendarbeitnehmerschutz,Hotel Bern 3011 Bern,Do 01.02.2007 09:30 - 10:30,Medienkonferenz,"P. Cavadini, Pressesprecher SGB, Tel. 031 377 01 07",Schweiz. Gewerkschaftsbund SGB,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-178.html,2007-02-01,2007,2,1
188,Globalisierung und die Rolle der öffentlichen Entwicklungszusammenarbeit,Medienzentrum 3003 Bern,Do 29.03.2007 11:00 - 12:00,"Medienkonferenz mit Richard Manning, Direktor OECD/DAC","Suzan Gürler, DEZA, 031 322 31 09",OECD/DEZA/SECO,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-188.html,2007-03-29,2007,3,29
