,0
0,WAK N
1,Eidgenössisches Finanzdepartement
2,Kommission für soziale Sicherheit und Gesundheit
3,Gewerkschaftsbund
4,Generalsekretariat VBS
5,Generalsekretariat UVEK
6,Eidgenössisches Departement des Innern
7,Département fédéral de l'intérieur
8,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport"
9,SiK/CPS-S
10,SGK/CSSS-N
11,RK/CAJ-N
12,SGB/USS
13,SP-Fraktion
14,Bundeskanzlei
15,Schweiz. Gewerkschaftsbund SGB
16,OECD/DEZA/SECO
17,SVP/UDC
18,Pro Natura
19,SPS/PSS
20,Schweiz. Gewerbeverband SGV
21,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung"
22,Eidgenössische Zollverwaltung
23,VBS/BASPO
24,Wettbewerbskommission
25,Alpen-Initiative
26,WAK/CER-N
27,Dachverband IPSILON
28,Eidgenössische Migrationskommission
29,ARE/ETH
30,Preisüberwachung
31,BVers/AF
32,"CDE - Zentrum für Entwicklung und Umwelt, Uni Bern"
33,Eidgenössische Bankenkommission
34,Perspektive Schweiz
35,Pro Helvetia
36,Bundesamt für Sozialversicherungen
37,Bundesamt für Statistik (BFS) / Bundesamt für Raumentwicklung (ARE)
38,Sifa
39,Eidgenössisches Justiz- und Polizeidepartement
40,Staatssekretariat für Wirtschaft
41,Grüne/Les Verts
42,Bundesamt für Umwelt (BAFU) / Bundesamt für Statistik (BFS)
43,Bundesamt für Polizei
44,Hauptabteilung für die Sicherheit der Kernanlagen (HSK)
45,Eidgenössisches Institut für Metrologie
46,Eidgenössischer Datenschutz- und Öffentlichkeitsbeauftragter
47,Netzwerk Kinderrechte Schweiz
48,SPS
49,Stiftung für Konsumentenschutz
50,Eidgenössisches Büro für Konsumentenfragen
51,SVP-Fraktion
52,xxx
53,CVP Fraktion
54,CVP/PDC
55,Büro des Nationalrates
56,FDP Frauen Schweiz
57,Präsenz Schweiz
58,RK/CAJ
59,Bundesamt für Privatversicherungen
60,Regierungsrat des Kantons Basel-Stadt
61,PREGO
62,Parlamentsdienste und Polit-Forum des Bundes
63,SP Schweiz
64,Jungparteien
65,Schweizer Museumspass
66,Eidgenössische Kommunikationskommission ComCom
67,BAR/EDA/SAGW
68,Unia
69,Gesundheitsförderung Schweiz
70,FDP Schweiz
71,CVP Schweiz
72,Schweizerischer Nationalfonds (SNF)
73,Schweizerische Bundesbahnen SBB
74,jungfreisinnige schweiz jfs
75,Bundesamt für Kommunikation
76,Schweizerische Vereinigung für Landesplanung VLP-ASPAN
77,Association suisse pour l'aménagement national VLP-ASPAN
78,"CIPRA, Fortbildung Wald und Landschaft"
79,SiK-N
80,Verein Future for the Commons VFC
81,Interakademische Kommission Alpenforschung ICAS
82,Bundesamt für Raumentwicklung (ARE)
83,SGB/VPOD/SBK
84,Schweizerischer Gewerkschaftsbund SGB
85,ASPAN-Ticino
86,SVP Schweiz
87,EDU
88,Konferenz der Kantonsregierungen (KdK)
89,WAK-S
90,Komitee gegen die 5. IV-Revision
91,Bündner Vereinigung für Raumentwicklung
92,Vereinigung für Umweltrecht (VUR)
93,Vereinigung zur Förderung der Windenergie in der Schweiz
94,EnergieSchweiz für Gemeinden
95,Kommissionen des EDI
96,Young Commitment
97,Alliance Sud und weitere Organisationen
98,Bundesamt für Landwirtschaft
99,SPK-N
100,Grüne Schweiz
101,SiK-S
102,WBK-N
103,SGK-N
104,WAK-N
105,Bundesamt für Statistik (BFS) und Bundesamt für Informatik und Telekommunikation (BIT)
106,Grüne Partei der Schweiz
107,Eidgenössische Spielbankenkommission
108,Bundesamt für Gesundheit
109,Jungfreisinnige
110,Schweizerischer Gewerbeverband sgv
111,Überparteiliches Komitee
112,Touring Club Schweiz TCS
113,SGK-S
114,GPK-N
115,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation"
116,"Initiativkomitee, c/o NR Ulrich Schlüer"
117,Kontaktstelle Umwelt KSU
118,Gruppe Verteidigung
119,_
120,H+ Die Spitäler der Schweiz
121,Ärztinnen und Ärzte für Umweltschutz (AefU) und Stiftung Landschaftsschutz (SL)
122,KVF-N
123,Bundesamt für Sport
124,NR Remo Gysin und weitere ParlamentarierInnen / Gesellschaft für bedrohte Völker Schweiz
125,Neue Europäische Bewegung Schweiz - nebs
126,Ständerat Alain Berset und Nationalrat Christian Levrat
127,Polit-Forum Käfigturm
128,Eidgenössisches Departement für auswärtige Angelegenheiten
129,Bundesamt für Umwelt BAFU
130,"Kantone BE, SO, BS, BL, AG und JU"
131,Verein seeland.biel/bienne
132,Überparteiliches Komitee für das Verbot von Streubomben
133,EVP Schweiz
134,Gewerkschaft Unia
135,Wirtschaftsverbände
136,JUSO
137,Politikerteam FUTURE
138,IGA-SOS Rassismus
139,Schweizer Musikrat SMR
140,Travail.Suisse
141,Forum Mobil
142,Neue Europäische Bewegung Schweiz (Nebs)
143,Parlamentsdienste
144,Amnesty International Schweiz
145,urwaldfreundlich.ch/Förderverein für umweltverträgliche Papiere und Büroökologie Schweiz
146,Parlamentarische Gruppe Sport
147,Eidg. Materialprüfungs- und Forschungsanstalt
148,Swissolar (EnergieSchweiz)
149,=mcminstitute Universität St.Gallen/Coop Presse Basel
150,Nationalrätin Bea Heim
151,Eidgenössische Kommission für Kinder- und Jugendfragen (EKKJ)
152,Eidgenössische Postkommission PostCom
153,Liberale Partei der Schweiz
154,Schweizer Delegation beim Parlamentarierkomitee der EFTA-Länder und für die Beziehungen zum Europäischen Parlament
155,Bundesamt für Kultur
156,"Verein ""Ja zur Landschaftsinitiative"""
157,Finanzdelegation (FinDel)
158,Verband Schweizerischer Assistenz- und Oberärztinnen und -ärzte (VSAO)
159,swisselectric research
160,VBJ
161,Bundesamt für Zivilluftfahrt
162,Grüne Schweiz / Les Verts
163,Verband öffentlicher Verkehr VöV / Schweizerische Bundesbahnen SBB
164,Verein Openair auf dem Bundesplatz
165,Travail.Suisse und Verbände
166,"KMU-Komitee ""Ja zur Unternehmenssteuerreform"""
167,"Bundesamt für Metrologie (METAS), Bundesamt für Landestopografie (swisstopo), Schweizerisches Bundesarchiv (BAR)"
168,Aktionsgemeinschaft Service public
169,Eidg. Kommission gegen Rassismus ERK
170,Die Liberal-Sozialen
171,Schweiz. Gewerbeverband
172,Junge CVP ; JDC
173,Staatskanzlei Kanton Aargau
174,FDP
175,Regierungskonferenz der Gebirgskantone (RKGK)
176,Bundesamt für Verkehr
177,Schweizerische Arbeitsgemeinschaft der Jugendverbände (SAJV)
178,Secrétariat général DFI
179,CVP-Bundeshausfraktion
180,"Stiftung ""Zugang für alle"" / Bundeskanzlei (BK)"
181,"NR Ruedi Noser / Verein Machbarkeit ""Stiftung Forschung Schweiz"""
182,Eidgenössisches Volkswirtschaftsdepartement
183,NR Fulvio Pelli
184,SBB/CFF
185,Stiftung Produktive Schweiz
186,NR Andreas Gross
187,Eidg. Finanzverwaltung
188,KVF-S
189,Parti Libéral Suisse PLS / PRD Suisse
190,"Initiativkomitee, Koordination SP Schweiz"
191,Konferenz der Höheren Fachschulen
192,UREK-N
193,LITRA/Verkehrsforum
194,Bundesamt für Berufsbildung und Technologie (BBT) - ab 1.1.2013 SBFI
195,Fonds Landschaft Schweiz (FLS) und Regierung des Kantons Genf
196,GPK
197,WBK-S
198,SP Schweiz und Schweizerischer Gewerkschaftsbund
199,Schweiz. Akademie der Technischen Wissenschaften SATW
200,SP Schweiz / Grüne
201,Handicap International
202,Schweizerische Konferenz der kantonalen Gesundheitsdirektorinnen und -direktoren (GDK)
203,Schweiz. Baumeisterverband (SBV)
