,0
0,WAK N
1,Eidgenössisches Finanzdepartement
2,Kommission für soziale Sicherheit und Gesundheit
3,Gewerkschaftsbund
4,Generalsekretariat VBS
5,Generalsekretariat UVEK
6,Eidgenössisches Departement des Innern (EDI)
7,Département fédéral de l'intérieur
8,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport"
9,SiK/CPS-S
10,SGK/CSSS-N
11,RK/CAJ-N
12,SGB/USS
13,SP-Fraktion
14,Bundeskanzlei
15,Schweiz. Gewerkschaftsbund SGB
16,OECD/DEZA/SECO
17,SVP Schweiz
18,Pro Natura
19,SP Schweiz
20,Schweizerischer Gewerbeverband sgv
21,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung WBF"
22,Eidgenössische Zollverwaltung
23,VBS/BASPO
24,Wettbewerbskommission
25,Alpen-Initiative
26,WAK/CER-N
27,Dachverband IPSILON
28,Eidgenössische Migrationskommission
29,ARE/ETH
30,Preisüberwachung
31,BVers/AF
32,"CDE - Zentrum für Entwicklung und Umwelt, Uni Bern"
33,Eidgenössische Bankenkommission
34,Perspektive Schweiz
35,Pro Helvetia
36,Bundesamt für Sozialversicherungen
37,Bundesamt für Statistik (BFS) / Bundesamt für Raumentwicklung (ARE)
38,Sifa
39,Eidgenössisches Justiz- und Polizeidepartement EJPD
40,Staatssekretariat für Wirtschaft
41,Grüne Partei der Schweiz
42,Bundesamt für Umwelt (BAFU) / Bundesamt für Statistik (BFS)
43,Bundesamt für Polizei
44,Hauptabteilung für die Sicherheit der Kernanlagen (HSK)
45,Eidgenössisches Institut für Metrologie
46,Eidgenössischer Datenschutz- und Öffentlichkeitsbeauftragter
47,Netzwerk Kinderrechte Schweiz
48,Stiftung für Konsumentenschutz
49,Eidgenössisches Büro für Konsumentenfragen
50,SVP-Fraktion
51,xxx
52,CVP Fraktion
53,CVP Schweiz
54,Büro-N
55,FDP Frauen Schweiz
56,Präsenz Schweiz
57,RK/CAJ
58,Bundesamt für Privatversicherungen
59,Regierungsrat des Kantons Basel-Stadt
60,PREGO
61,Parlamentsdienste und Polit-Forum des Bundes
62,Jungparteien
63,Schweizer Museumspass
64,Eidgenössische Kommunikationskommission ComCom
65,BAR/EDA/SAGW
66,Gewerkschaft UNIA
67,Gesundheitsförderung Schweiz
68,FDP Schweiz
69,Schweizerischer Nationalfonds (SNF)
70,Schweizerische Bundesbahnen SBB
71,Jungfreisinnige Schweiz
72,Bundesamt für Kommunikation
73,Schweizerische Vereinigung für Landesplanung VLP-ASPAN
74,Association suisse pour l'aménagement national VLP-ASPAN
75,"CIPRA, Fortbildung Wald und Landschaft"
76,SiK-N
77,Verein Future for the Commons VFC
78,Interakademische Kommission Alpenforschung ICAS
79,Bundesamt für Raumentwicklung (ARE)
80,SGB/VPOD/SBK
81,Schweizerischer Gewerkschaftsbund SGB
82,ASPAN-Ticino
83,EDU
84,Konferenz der Kantonsregierungen (KdK)
85,WAK-S
86,Komitee gegen die 5. IV-Revision
87,Bündner Vereinigung für Raumentwicklung
88,Vereinigung für Umweltrecht (VUR)
89,Vereinigung zur Förderung der Windenergie in der Schweiz
90,EnergieSchweiz für Gemeinden
91,Kommissionen des EDI
92,Young Commitment
93,Alliance Sud und weitere Organisationen
94,Bundesamt für Landwirtschaft
95,SPK-N
96,SiK-S
97,WBK-N
98,SGK-N
99,WAK-N
100,Bundesamt für Statistik (BFS) und Bundesamt für Informatik und Telekommunikation (BIT)
101,Eidgenössische Spielbankenkommission
102,Bundesamt für Gesundheit
103,Überparteiliches Komitee
104,Touring Club Schweiz TCS
105,SGK-S
106,GPK-N
107,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation"
108,"Initiativkomitee, c/o NR Ulrich Schlüer"
109,Kontaktstelle Umwelt KSU
110,Gruppe Verteidigung
111,_
112,H+ Die Spitäler der Schweiz
113,Ärztinnen und Ärzte für Umweltschutz (AefU) und Stiftung Landschaftsschutz (SL)
114,KVF-N
115,Bundesamt für Sport BASPO
116,NR Remo Gysin und weitere ParlamentarierInnen / Gesellschaft für bedrohte Völker Schweiz
117,Neue Europäische Bewegung Schweiz - nebs
118,Ständerat Alain Berset und Nationalrat Christian Levrat
119,Polit-Forum Käfigturm
120,Eidgenössisches Departement für auswärtige Angelegenheiten
121,Bundesamt für Umwelt BAFU
122,"Kantone BE, SO, BS, BL, AG und JU"
123,Verein seeland.biel/bienne
124,Überparteiliches Komitee für das Verbot von Streubomben
125,EVP Schweiz
126,Gewerkschaft Unia
127,Wirtschaftsverbände
128,JUSO
129,Politikerteam FUTURE
130,IGA-SOS Rassismus
131,Schweizer Musikrat SMR
132,Travail.Suisse
133,Forum Mobil
134,Neue Europäische Bewegung Schweiz (Nebs)
135,Parlamentsdienste
136,Amnesty International Schweiz
137,urwaldfreundlich.ch/Förderverein für umweltverträgliche Papiere und Büroökologie Schweiz
138,Parlamentarische Gruppe Sport
139,Eidg. Materialprüfungs- und Forschungsanstalt
140,Swissolar (EnergieSchweiz)
141,=mcminstitute Universität St.Gallen/Coop Presse Basel
142,Nationalrätin Bea Heim
143,Eidgenössische Kommission für Kinder- und Jugendfragen (EKKJ)
144,Eidgenössische Postkommission PostCom
145,Liberale Partei der Schweiz
146,Schweizer Delegation beim Parlamentarierkomitee der EFTA-Länder und für die Beziehungen zum Europäischen Parlament
147,Bundesamt für Kultur
148,"Verein ""Ja zur Landschaftsinitiative"""
149,Finanzdelegation (FinDel)
150,Verband Schweizerischer Assistenz- und Oberärztinnen und -ärzte (VSAO)
151,swisselectric research
152,VBJ
153,Bundesamt für Zivilluftfahrt
154,Verband öffentlicher Verkehr VöV / Schweizerische Bundesbahnen SBB
155,Verein Openair auf dem Bundesplatz
156,Travail.Suisse und Verbände
157,"KMU-Komitee ""Ja zur Unternehmenssteuerreform"""
158,"Bundesamt für Metrologie (METAS), Bundesamt für Landestopografie (swisstopo), Schweizerisches Bundesarchiv (BAR)"
159,Aktionsgemeinschaft Service public
160,Eidg. Kommission gegen Rassismus EKR
161,Die Liberal-Sozialen
162,Junge CVP; JDC
163,Staatskanzlei Kanton Aargau
164,Regierungskonferenz der Gebirgskantone (RKGK)
165,Bundesamt für Verkehr
166,Schweizerische Arbeitsgemeinschaft der Jugendverbände (SAJV)
167,Secrétariat général DFI
168,CVP-Fraktion
169,"Stiftung ""Zugang für alle"" / Bundeskanzlei (BK)"
170,"NR Ruedi Noser / Verein Machbarkeit ""Stiftung Forschung Schweiz"""
171,Eidgenössisches Volkswirtschaftsdepartement
172,NR Fulvio Pelli
173,SBB/CFF
174,Stiftung Produktive Schweiz
175,NR Andreas Gross
176,Eidg. Finanzverwaltung
177,KVF-S
178,Parti Libéral Suisse PLS / PRD Suisse
179,"Initiativkomitee, Koordination SP Schweiz"
180,Konferenz der Höheren Fachschulen
181,UREK-N
182,LITRA/Verkehrsforum
183,Bundesamt für Berufsbildung und Technologie (BBT) - ab 1.1.2013 SBFI
184,Fonds Landschaft Schweiz (FLS) und Regierung des Kantons Genf
185,GPK
186,WBK-S
187,SP Schweiz und Schweizerischer Gewerkschaftsbund
188,Schweiz. Akademie der Technischen Wissenschaften SATW
189,SP Schweiz / Grüne
190,Handicap International
191,Schweizerische Konferenz der kantonalen Gesundheitsdirektorinnen und -direktoren (GDK)
192,Schweiz. Baumeisterverband (SBV)
193,SWISSCOMPETENCE
194,Bundesversammlung
195,Liberale Partei der Schweiz (LSP)
196,Helvetia Latina
197,CVP Kanton Bern
198,"bauenschweiz, NR Robert Keller"
199,Helvetas und Polit-Forum Käfigturm
200,Eidg. Kommunikationskommission ComCom
