Beschreibung,Datum,File,Kontakt,Ort,Sonstiges,TITLE,URL,Veranstalter,New_Date,Year,Month,Day
Medienkonferenz der WAK-N zu den Steuervorlagen.,Di 29.08.2006 17:30,102.html,,Medienzentrum 3003 Bern,,WAK-N zu Steuervorlagen,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-102.html,WAK N,2006-08-29,2006,8,29
"Die Eidg. Finanzverwaltung lädt Sie zum ersten „Finanzpolitischen Apéro“ ein. Die Veranstaltung soll den interessierten Medienschaffenden Gelegenheit bieten, sich aus erster Hand und in ungezwungener Atmosphäre über aktuelle Themen der Fi-nanzpolitik zu informieren. Am Anlass werden Peter Siegenthaler, Direktor der Eidg. Finanzverwaltung, und die Vizedirektoren Fritz Zurbrügg, Beat Blaser, und Karl Schwaar je ein Kurzreferat hal-ten. Neben der neu gestalteten und frisch gedruckten Finanzberichterstattung zum Voranschlag 2007 und dem Finanzplan 2008 – 2010 wird ein Ausblick auf die weite-ren Schritte im Neuen Rechnungsmodell des Bundes sowie eine aktuelle finanzpoliti-sche Standortbestimmung Thema sein. Anschliessend bietet sich bei einem Apéro Gelegenheit für Fragen und Diskussionen.",Do 14.09.2006 12:15 - 14:00,105.html,,Bernerhof Bern,,Finanzpolitischer Apéro,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-105.html,Eidgenössisches Finanzdepartement,2006-09-14,2006,9,14
,Mi 13.09.2006 08:00 - 17:00,106.html,,Bundesrain Bern,,Sitzung Kommission für soziale Sicherheit und Gesundheit,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-106.html,Kommission für soziale Sicherheit und Gesundheit,2006-09-13,2006,9,13
PK,So 10.09.2006 08:00,112.html,,Hotel Bern Bern,,Löhne 2007,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-112.html,Gewerkschaftsbund,2006-09-10,2006,9,10
,Fr 13.10.2006 10:00,116.html,,Konferenzsaal Bern,,Heerestage 2006,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-116.html,Generalsekretariat VBS,2006-10-13,2006,10,13
,Fr 03.11.2006,131.html,,- Verona,,Bundespräsident Leuenberger nimmt an der Verkehrsministerkonferenz in Verona teil,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-131.html,Generalsekretariat UVEK,2006-11-03,2006,11,3
,Fr 03.11.2006 09:30,133.html,,ETH Zürich,,Referat von Bundesrat Pascal Couchepin beim ETH-Symposium «Technologieentwicklung und Nachhaltigkeit in der Schweiz»,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-133.html,Eidgenössisches Departement des Innern (EDI),2006-11-03,2006,11,3
,Fr 03.11.2006 14:30,134.html,,Bienne Berne,,Le Conseiller fédéral Couchepin prononce à 14h30 un discours à l'occasion du séminaire de la Commission fédérale pour l'enfance et la jeunesse à Bienne.,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-134.html,Département fédéral de l'intérieur,2006-11-03,2006,11,3
"Bundesrat Schmid nimmt ab 13.30 Uhr an der Medienkonferenz KKJPD/VBS zum ""Bericht über Bearbeitung der Aufträge vom Juni 05"" im Konferenzsaal teil.",Fr 03.11.2006 13:30,135.html,,Bern Bern,,"Medienkonferenz KKJPD/VBS, mit Bundesrat Samuel Schmid",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-135.html,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2006-11-03,2006,11,3
,Fr 03.11.2006 13:00,136.html,,"Bern, Kleiner Konferenzraum Bern",,Armeereform,https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-136.html,SiK/CPS-S,2006-11-03,2006,11,3
,Fr 03.11.2006 14:30,137.html,,Kleiner Konferenzraum Bern,,"Iv ""Für tiefere Krankenkassenprämien""/KVG",https://www.admin.ch/gov/de/start/dokumentation/veranstaltungen.event-id-137.html,SGK/CSSS-N,2006-11-03,2006,11,3
