,magnitude,place
0,0.56,"10km NE of Aguanga, CA"
1,2.12,"1km W of Volcano, Hawaii"
2,1.6,"43km E of Cape Yakataga, Alaska"
3,0.57,"10km NE of Aguanga, CA"
4,0.5,"10km NE of Aguanga, CA"
5,2.16,"2km N of The Geysers, CA"
6,1.5,"23km WSW of Tanaga Volcano, Alaska"
7,4.5,"209km N of Loiza, Puerto Rico"
8,1.11,"6km NW of San Jacinto, CA"
9,0.8,"32km SSW of Beatty, Nevada"
10,1.27,"14km WSW of Round Valley, CA"
11,2.07,"8km S of Tallaboa, Puerto Rico"
12,1.1,"66km NW of Nellis Air Force Base, Nevada"
13,0.42,"6km NE of Camp Pendleton South, CA"
14,1.6,"101km W of Talkeetna, Alaska"
15,1.95,"4km SW of Sabana Grande, Puerto Rico"
16,2.0,"67km SSW of Kaktovik, Alaska"
17,1.56,"26km ENE of Pine Valley, CA"
18,0.56,"7km NW of The Geysers, CA"
19,1.12,"7km NW of The Geysers, CA"
20,2.77,"43km NW of San Antonio, Puerto Rico"
21,0.67,"8km NW of The Geysers, CA"
22,1.4,"60km WSW of Big Lake, Alaska"
23,1.6,"12km ESE of Y, Alaska"
24,2.3,"32km SE of Amatignak Island, Alaska"
25,2.8,"34km W of Big Lake, Alaska"
26,1.05,"5km W of Cobb, CA"
27,0.55,"5km E of Jamul, CA"
28,0.7,"27km NNW of Packwood, Washington"
29,1.34,"5km ESE of Lebec, CA"
30,1.87,"5km WSW of Volcano, Hawaii"
31,1.12,"9km NE of Aguanga, CA"
32,1.7,"71km WSW of Tok, Alaska"
33,0.66,"27km NNW of Packwood, Washington"
34,2.0,"11km W of Ely, Nevada"
35,0.9,"9km SSW of Big Lake, Alaska"
36,0.37,"10km NE of Aguanga, CA"
37,2.14,"21km SSE of Tallaboa, Puerto Rico"
38,0.93,"7km WNW of The Geysers, CA"
39,2.0,"52km SSW of Kaktovik, Alaska"
40,2.7,"12km SW of Wellington, Kansas"
41,2.66,"26km E of Honaunau-Napoopoo, Hawaii"
42,0.33,"36km SSE of Morton, Washington"
43,1.4,"44km ENE of Cape Yakataga, Alaska"
44,4.4,"60km W of Kasiguncu, Indonesia"
