,Councillors
0,Fabio Abate FDP-Liberale
1,Jean-Luc Addor SVP
2,Andreas Aebi SVP
3,Matthias Aebischer SP
4,Thomas Aeschi SVP
5,Evi Allemann SP
6,Céline Amaudruz SVP
7,Viola Amherd CVP
8,Thomas Ammann CVP
9,Adrian Amstutz SVP
10,Beat Arnold SVP
11,Sibel Arslan BastA
12,Jacqueline Badran SP
13,Guillaume Barazzone CVP
14,Angelo Barrile SP
15,Philippe Bauer FDP-Liberale
16,Isidor Baumann CVP
17,Martin Bäumle glp
18,Claude Béglé CVP
19,Samuel Bendahan SP
20,Didier Berberat SP
21,Kathrin Bertschy glp
22,Hans-Ulrich Bigler FDP-Liberale
23,Prisca Birrer-Heimo SP
24,Pirmin Bischof CVP
25,Ivo Bischofberger CVP
26,Frédéric Borloz FDP-Liberale
27,Jacques Bourgeois FDP-Liberale
28,Heinz Brand SVP
29,Daniel Brélaz GPS
30,Pascale Bruderer Wyss SP
31,Hansjörg Brunner FDP-Liberale
32,Toni Brunner SVP
33,Roland Rino Büchel SVP
34,Michaël Buffat SVP
35,Manfred Bühler SVP
36,Christine Bulliard-Marbach CVP
37,Thomas Burgherr SVP
38,Thierry Burkart FDP-Liberale
39,Duri Campell BDP
40,Martin Candinas CVP
41,Marina Carobbio Guscetti SP
42,Andrea Caroni FDP-Liberale
43,Rocco Cattaneo FDP-Liberale
44,Isabelle Chevalley glp
45,Marco Chiesa SVP
46,Raymond Clottu -
47,Raphaël Comte FDP-Liberale
48,Robert Cramer GPS
49,Brigitte Crottaz SP
50,Dominique de Buman CVP
51,Thomas de Courten SVP
52,Denis de la Reussille PdA
53,Fathi Derder FDP-Liberale
54,Marcel Dettling SVP
55,Josef Dittli FDP-Liberale
56,Marcel Dobler FDP-Liberale
57,Roland Eberle SVP
58,Joachim Eder FDP-Liberale
59,Thomas Egger CSPO
60,Hans Egloff SVP
61,Corina Eichenberger-Walther FDP-Liberale
62,Stefan Engler CVP
