,0
0,"Jetzt im TV
            
                TV-Programm"
1,SRF 1
2,SRF zwei
3,SRF info
4,"Jetzt im Radio
            
                Radio-Programm"
5,Radio SRF 1
6,Radio SRF 2 Kultur
7,Radio SRF 3
8,Radio SRF 4 News
9,Radio SRF Musikwelle
10,SRF Virus
11,"Gewissheit um letzten Willen
                  


        
        Nationales Register für Organspende lanciert"
12,Charles Aznavour ist tot
13,Weshalb wurden die Menschen von der Welle überrascht?
14,Über 1200 Tote befürchtet
15,"Aktivierung des Immunsystems
                  


        
        Nobelpreis für Meilenstein im Kampf gegen Krebs"
16,Zwei Jahre Haft für Franzosen wegen Vergewaltigung
17,Jeder fünfte Senior wird finanziell betrogen
18,Carmen Walker Späh will nicht Bundesrätin werden
19,"Chemnitzer «Bürgerwehr»
                  


        
        Sechs mutmassliche Rechtsterroristen festgenommen"
20,Beschuldigte weisen alle Vorwürfe zurück
21,Die USA und Kanada einigen sich in letzter Minute
22,«Der Regierungschef hat zu hoch gepokert»
23,Im Thurgau schliessen überdurchschnittlich viele kleine Läden
24,Jeder fünfte Senior wird finanziell betrogen
25,Zwei Jahre Haft für Franzosen wegen Vergewaltigung
26,Weitere Werbestopp-Firma mit dubiosem Angebot
27,Wohnquartier auf chemisch verschmutztem Boden
28,Kleinparteien wollen an den Von-Wattenwyl-Gesprächen teilnehmen
29,FDP-Delegierte lehnen Selbstbestimmungs-Initiative ab
30,Reisetagebuch Velotour
31,Stressfreies YB vor Spiel in Turin
32,Haufenweise Kürbisse entdeckt
33,Daniela Schneeberger möchte in den Ständerat
34,Kanton Aargau ist nicht mit allen Jägern zufrieden
35,"Was, wenn sich Aargauer Kantonsspitäler beim Bauen übernehmen?"
36,Auch ohne Pest und Krieg: «Das Gebet ist nötig»
37,Gerlafinger spielen Champions League
38,Daniela Schneeberger möchte in den Ständerat
39,Basel will seine Wärmeinseln kennen
40,Historiker und Politiker wollen Baselbieter Schützengräben retten
41,Basel muss sich in Lugano mit einem Punkt bescheiden
42,Stressfreies YB vor Spiel in Turin
43,Haufenweise Kürbisse entdeckt
44,Der Imagefilm
45,«Mit der Zeit haben sie gemerkt: ‹Dumm ist sie wohl nicht›»
46,Die Schlagerparade ist für Chur und Umgebung ein Geldsegen
47,Der lange Weg zum Kontrollzentrum
48,Hamilton braucht mehr Platz
49,Unterwegs mit den Experten für schöne Dörfer und Städte
50,Echtes Holzofenbrot machen nur Brotkünstler
51,Vom Vergessenen zum Vielumjubelten
52,Einblicke in die Seele eines Täters
53,Ausbau der Lintharena erfordert Steuererhöhung
54,Reisetagebuch Velotour
55,«Die Altstädte haben fürchterlich gestunken»
56,Fokus auf dem eigenen Nachwuchs
57,Zentralschweizer Käse gehören zu den Besten
58,«Es ist eine Chance für die Spitäler»
59,17-Jährige stirbt nach Sturz vom Dach des Hauptbahnhofs
60,Zürcher Bäckerei Keller muss 15 Filialen schliessen
61,September 2018
62,Mazedonien sagt Jein zu neuem Staatsnamen
63,700 Bootsmigranten aus dem Mittelmeer gerettet
64,Theresa May beharrt auf ihrem Brexit-Plan
65,"«Und dann haben wir uns verliebt, okay?»"
66,Musk muss Amt des Aufsichtsrates abgeben
67,Italien will wieder mehr Schulden machen
68,Börsenaufsicht verklagt Tesla-Chef
69,Immo-Blasen-Gefahr in Hong-Kong und München am grössten
70,«Wir vervollständigen den Stammbaum der Dinosaurier»
71,Zahl der Toten auf Sulawesi steigt auf 384
72,Millionen Facebook-Konten betroffen
73,Naomi Watts wird 50
74,Infografik: Neue Dinosaurierart in Südafrika entdeckt
75,Infografik: So steigen die Prämien in den Kantonen
76,Zahlen und Fakten zum Kanton Jura
77,Türken in Deutschland – Zahlen und Fakten
78,Abstimmungen
79,Dürfen wir Ihnen jemanden vorstellen?
80,Infografiken
81,Letzte Nachrichten hören
82,SRF Augenzeuge
83,"«The Cleanser»: Diese Billigarbeiter löschen Folter, Sex und Mord"
84,CEO von Juventus geht – Gerüchte um Zidane mehren sich
85,Vor 50 Jahren wurde das Schweizer Fernsehen farbig
86,DIE GROSSE EVENT-SERIE
87,Der pazifistischste Western aller Zeiten
88,Pascal Silva träumt auf Spanisch
89,Wer wir sind
90,Was wir tun
91,Wie können wir helfen
